,Company name,Category
473,AXIMA REFRIGERATION FRANCE,369
474,APOGEE CONSULTING,370
475,ASISTENCIA TECNICA,371
476,ALLURIS GMBH & CO KG,372
477,APARTAMENTOS,373
478,ATELIER PRO VIDEO,374
479,ALESIA DISTRIBUTION,374
480,AGENCE COMPTABLE DU PALAIS DE LA,374
481,ADDCOM,375
482,ANAPLAN LIMITED,376
483,ANTOINE DE COURTIVRON,377
484,AXIS&CO,378
485,AXIS & CO,378
486,AUTO 44,379
487,ATM GMBH,380
488,AGI UK,381
489,AMARI HOTELS & RESORTS,382
490,AMBASSADE DE FRANCE EN CHINE,383
491,ASPERA GMBH,384
492,ACG - AUTOMATISMES,385
493,ADATICA,386
494,AI3,387
495,ADVANTECH EUROPE BV,388
496,ADF MIDI PYRENEES,389
497,ALLSTAR,390
498,ARTIS GROUP,391
499,AXIOM GROUPE,392
500,AGV NORD,393
501,ASSMANN TELECOM,394
502,A ET P - LITHOS,395
503,AMPLITUDE,396
504,ACQUISYS,397
505,AGORA VITA,398
506,APERSO,399
507,AMERICAN ELEMENTS,400
508,ACCIONA,401
509,ABMI GRAND OUEST,402
510,ALFACOUSTIC SA,403
511,ALFACOUSTIC,403
512,AEAMI&ORFE SL,404
513,AEQUINOX,405
514,ANDRENA OBJECTS,406
515,AFOTEK GMBH,407
516,AVNET,408
517,AVNET ABACUS,408
518,ADAGEO,409
519,AALTO UNIVERSITY,410
520,ASTIA,411
521,AED ALARME ET DETECTION,412
522,ADF,413
523,ATOS ORIGIN INTEGRATION,414
524,ADI,415
525,AFIM,416
526,AXONE,417
527,AGICOM,418
528,AIGLE AZUR,419
529,ALTERBURO DISTRIBUTION,420
530,AAA,421
531,ARESYS SRL,422
532,AEDCP,423
533,ARROW ELECTRONIQUE,424
534,AUTOCARES SEMA SA,425
535,ATELIER DE CONSTRUCTION ET DE,426
536,ARTTIC SAS,427
537,API SCHMIDT BRETTEN GMBH CO KG,428
538,APPURITY LIMITED,429
539,AMDP,430
540,ATEQ,431
541,ATEQ FRANCE,431
542,AREA ETUDES NANTES,432
543,ALPEX,433
544,ACTIVUS SERVICES,434
545,ABT SORIME,435
546,AERTEC SOLUTIONS ENGINEERING,436
547,ARINC,437
548,ASSOCIATION LENA,438
549,AITEX,439
550,AXIS FIRE & SECURITY SERVICES LTD,440
551,AXATA,441
552,AL TAMIMI & COMPANY,442
553,AGORIZE SAS,443
554,AMRAE - ASSOCIATION MANAGEMENT,444
555,ABYLSEN GAMMA,445
556,ADI INDUSTRIE,446
557,AUTOMATED PRECISION EUROPE GMBH,447
558,AUTOMATED PRECISION EUROPE,447
559,AM SERVICES,448
560,ALLBUYONE GMBH,449
561,ALRO+,450
562,ATMP,451
563,ANGELIKA BUSCH,452
564,APTH,453
565,A L DALTON,454
566,AYLIN CONSEIL,455
567,ALEGRAH,456
568,AAA FORMATION,457
569,ASSOCIATION STRATOFLIGHT,458
570,ABA,459
571,ACCENTURE BV,460
572,ALLICI,461
573,AUBERGE DES TEMPLIERS,462
574,ACRO DEMENAGEMENTS,463
575,APPEL MEDICAL,464
576,APPEL MEDICAL L,464
577,ARABELLA HOTEL,465
578,ABSC,466
579,AGC,467
580,ALTI HOTEL,468
581,ASEI,469
582,ASEI ESAT ARY-FRANCE,469
583,AT HOME APPART HOTEL,470
584,ALTRAN OUEST,471
585,ALTRAN SUD OUEST,471
586,ACE2I,472
587,ACTIMAN SAS,473
588,ALPENROSE,474
589,ASOCIACION PROFESIONAL DE,475
590,ACN,476
591,AMADIO,477
